(4, 2, 11), 
(4, 2, 12),
(4, 2, 13),
(3, 2, 11),
(3, 2, 12),
(2, 2, 11),
(2, 2, 12),
(2, 2, 13),
(1, 2, 11),
(1, 1, 11),
(1, 0, 11),
(1, 2, 12),
(1, 2, 13),
(1, 1, 13),
(1, 0, 13),
(1, 2, 14),
(1, 1, 14),
(1, 0, 14),
(2, 2, 14),
(2, 1, 14),
(2, 0, 14),
(3, 2, 14),
(3, 0, 14),
(4, 2, 14),
(4, 1, 14),
(4, 0, 14),
(5, 2, 14),
(5, 1, 14),
(5, 0, 14),
(5, 2, 13),
(5, 1, 13),
(5, 0, 13),
(5, 2, 12),
(5, 0, 12),
(5, 2, 11),
(5, 1, 11),
(5, 0, 11),
(5, 2, 10),
(5, 1, 10),
(5, 0, 10),
(4, 2, 10),
(4, 1, 10),
(4, 0, 10),
(3, 2, 10),
(3, 0, 10),
(2, 2, 10),
(2, 1, 10),
(2, 0, 10),
(1, 2, 10),
(1, 1, 10),
(1, 0, 10),
(3, 2, 13),
